Results for soybean.csv dataset
|   k   |   m   |   Accuracy   |
|   0   |   0   |   N/A   |
|   0   |   1   |   84.72%   |
|   0   |   2   |   81.16%   |
|   0   |   3   |   78.93%   |
|   1   |   0   |   N/A   |
|   1   |   1   |   84.72%   |
|   1   |   2   |   81.90%   |
|   1   |   3   |   79.23%   |
|   2   |   0   |   N/A   |
|   2   |   1   |   85.31%   |
|   2   |   2   |   82.34%   |
|   2   |   3   |   79.53%   |
|   3   |   0   |   N/A   |
|   3   |   1   |   85.46%   |
|   3   |   2   |   82.34%   |
|   3   |   3   |   79.67%   |
