date:25/02/2024 21:46:50
file:../../Data/auto93.csv
repeat:20
seed:31210.0
rows:398
cols:8
names			['Clndrs'  'Volume'   'HpX'    'Model'   'origin'   'Lbs-'    'Acc+'   'Mpg+']  	d2h-
Mid			[5.45      193.43     104.47   76.01     1          2970.42   15.57    23.84]   	0.56
Div			[1.7       104.27     38.49    3.7       1.33       846.84    2.76     8.34]    	0.16
#
smo			[4         85         65       80        3          2110      19.2     40]      	0.25
smo			[5         121        67       80        2          2950      19.9     40]      	0.31
smo			[4         81         60       81        3          1760      16.1     40]      	0.33
smo			[4         97         60       71        2          1834      19       30]      	0.35
smo			[4         91         69       79        2          2130      14.7     40]      	0.39
smo			[4         79         67       74        2          1963      15.5     30]      	0.43
smo			[4         140        90       71        1          2264      15.5     30]      	0.44
smo			[4         156        92       82        1          2585      14.5     30]      	0.48
smo			[4         135        84       81        1          2385      12.9     30]      	0.52
smo			[4         151        90       79        1          2556      13.2     30]      	0.52
smo			[6         232        90       75        1          3211      17       20]      	0.57
smo			[6         173        115      79        1          2595      11.3     30]      	0.57
smo			[6         232        90       78        1          3210      17.2     20]      	0.57
smo			[4         122        86       71        1          2220      14       20]      	0.58
smo			[6         225        95       75        1          3785      19       20]      	0.59
smo			[6         231        105      77        1          3425      16.9     20]      	0.59
smo			[8         260        110      77        1          4060      19       20]      	0.62
smo			[8         400        150      70        1          3761      9.5      20]      	0.77
smo			[8         340        160      70        1          3609      8        10]      	0.88
smo			[8         440        215      70        1          4312      8.5      10]      	0.92
#
any50			[4         81         60       81        3          1760      16.1     40]      	0.33
any50			[8         260        110      77        1          4060      19       20]      	0.62
any50			[6         232        90       75        1          3211      17       20]      	0.57
any50			[8         440        215      70        1          4312      8.5      10]      	0.92
any50			[4         122        86       71        1          2220      14       20]      	0.58
any50			[4         135        84       81        1          2385      12.9     30]      	0.52
any50			[4         79         67       74        2          1963      15.5     30]      	0.43
any50			[8         340        160      70        1          3609      8        10]      	0.88
any50			[4         140        90       71        1          2264      15.5     30]      	0.44
any50			[4         85         65       80        3          2110      19.2     40]      	0.25
any50			[4         97         60       71        2          1834      19       30]      	0.35
any50			[4         156        92       82        1          2585      14.5     30]      	0.48
any50			[6         225        95       75        1          3785      19       20]      	0.59
any50			[4         151        90       79        1          2556      13.2     30]      	0.52
any50			[6         231        105      77        1          3425      16.9     20]      	0.59
any50			[8         400        150      70        1          3761      9.5      20]      	0.77
any50			[4         91         69       79        2          2130      14.7     40]      	0.39
any50			[5         121        67       80        2          2950      19.9     40]      	0.31
any50			[6         173        115      79        1          2595      11.3     30]      	0.57
any50			[6         232        90       78        1          3210      17.2     20]      	0.57
#
100%			[4         97         52       82        2          2130      24.6     40]      	0.17
